ticker,companyname,transcriptid,keydevid,headline,call_date,total_sentences,ai_sentence_count,ai_intensity,hype_period
FRT,Federal Realty Investment Trust,1659769.0,594095747.0,"Federal Realty Investment Trust, Q4 2018 Earnings Call, Feb 14, 2019",2019-02-14,582,0,0.0,2019 Pre-Pandemic Baseline
FRT,Federal Realty Investment Trust,1726716.0,606565768.0,"Federal Realty Investment Trust, Q1 2019 Earnings Call, May 03, 2019",2019-05-03,547,0,0.0,2019 Pre-Pandemic Baseline
FRT,Federal Realty Investment Trust,1795747.0,620559563.0,"Federal Realty Investment Trust, Q2 2019 Earnings Call, Aug 02, 2019",2019-08-02,391,0,0.0,2019 Pre-Pandemic Baseline
FRT,Federal Realty Investment Trust,1855459.0,638080901.0,"Federal Realty Investment Trust, Q3 2019 Earnings Call, Oct 31, 2019",2019-10-31,619,0,0.0,2019 Pre-Pandemic Baseline
FDX,FedEx Corporation,2086529.0,571251277.0,"FedEx Corporation, Q3 2019 Earnings Call, Mar 19, 2019",2019-03-19,485,1,0.002061855670103,2019 Pre-Pandemic Baseline
FDX,FedEx Corporation,1767045.0,581408700.0,"FedEx Corporation, Q4 2019 Earnings Call, Jun 25, 2019",2019-06-25,457,0,0.0,2019 Pre-Pandemic Baseline
FDX,FedEx Corporation,1825890.0,614210155.0,"FedEx Corporation, Q1 2020 Earnings Call, Sep 17, 2019",2019-09-17,515,0,0.0,2019 Pre-Pandemic Baseline
FDX,FedEx Corporation,1886925.0,614210539.0,"FedEx Corporation, Q2 2020 Earnings Call, Dec 17, 2019",2019-12-17,536,0,0.0,2019 Pre-Pandemic Baseline
FIS,"Fidelity National Information Services, Inc.",1661111.0,597495849.0,"Fidelity National Information Services, Inc., Q4 2018 Earnings Call, Feb 12, 2019",2019-02-12,588,0,0.0,2019 Pre-Pandemic Baseline
FIS,"Fidelity National Information Services, Inc.",1718544.0,609772107.0,"Fidelity National Information Services, Inc., Q1 2019 Earnings Call, Apr 30, 2019",2019-04-30,472,0,0.0,2019 Pre-Pandemic Baseline
FIS,"Fidelity National Information Services, Inc.",1799001.0,628786859.0,"Fidelity National Information Services, Inc., Q2 2019 Earnings Call, Aug 06, 2019",2019-08-06,624,0,0.0,2019 Pre-Pandemic Baseline
FIS,"Fidelity National Information Services, Inc.",1859646.0,640571417.0,"Fidelity National Information Services, Inc., Q3 2019 Earnings Call, Nov 05, 2019",2019-11-05,578,0,0.0,2019 Pre-Pandemic Baseline
FITB,Fifth Third Bancorp,1642638.0,595614344.0,"Fifth Third Bancorp, Q4 2018 Earnings Call, Jan 22, 2019",2019-01-22,557,0,0.0,2019 Pre-Pandemic Baseline
FITB,Fifth Third Bancorp,1703314.0,605170204.0,"Fifth Third Bancorp, Q1 2019 Earnings Call, Apr 23, 2019",2019-04-23,542,0,0.0,2019 Pre-Pandemic Baseline
